pub_date	title	venue	excerpt	citation	url_slug	paper_url
2022-06-09	Expanding Neuro-Symbolic Artificial Intelligence for Strategic Learning	Santa Clara University Computer Science and Engineering Senior Theses	This thesis seeks to find ways to determine if hybrid AI are more capable of learning high-level strategy than traditional reinforcement learning methods.	Clay, Dorian. (2022). "Expanding Neuro-Symbolic Artificial Intelligence for Strategic Learning" <i>Santa Clara University Computer Science and Engineering Senior Theses</i>.	neuro-symbolic-scu	https://scholarcommons.scu.edu/cseng_senior/228/
2022-08-14	Expanding Neuro-Symbolic AI for Strategic Learning	KDD Undergraduate Consortium	Today, artificial intelligence (AI) solves problems as varied as driving cars to diagnosing diseases. However, it still has significant pitfalls. This paper will seek to apply neuro-symbolic AI to strategic game play where AI agents have the same information as a human player—just an image.	Clay, Dorian. (2022). "Expanding Neuro-Symbolic Artificial Intelligence for Strategic Learning" <i>KDD-UC</i>.	neuro-symbolic-kdd	https://kdd.org/kdd2022/papers/17_Dorian%20Clay.pdf
