title	type	url_slug	venue	date	location	talk_url	description
The Metaverse and Problems of the Self	Talk	talk-1	Great Lakes Philosophy Conference	2021-04-10	San Francisco, California		Challenges of control and embodiment in a world where AR is ubiquitous.
Expanding Neuro-Symbolic Reasoning for Strategic Learning	Talk	talk-2	Santa Clara University School of Engineering, 52nd Annual Senior Design Conference	2021-05-12	Santa Clara, CA	https://www.scu.edu/engineering/undergraduate/senior-design/archives/2022-senior-design/	Setting the stage for using hybrid AI for more generalizable learning.
